Status,Status,Commit Hash,Message,Notes,Problem
,,e173d587e1,Merge #17068: qt: Always generate `bitcoinstrings.cpp` on `make translate`,,FALSE
,,520d140e6e,Merge #17056: descriptors: Introduce sortedmulti descriptor,,FALSE
,,9b4dfec831,Merge #17029: gitian: Various improvements for Windows descriptor,,FALSE
,,1d9ac7fded,Merge #17074: build: Added double quotes,,FALSE
,,c08bf2b574,Merge #15437: p2p: Remove BIP61 reject messages,,FALSE
,,97e05817d4,Merge #17084: build: Fix #include sys/poll.h to just poll.h (without sys/),,FALSE
,,b1de33d29a,Merge #16821: Fix bug where duplicate PSBT keys are accepted,,FALSE
,,ceecefe0b0,Merge #17081: doc: fix Makefile target in benchmarking.md,,FALSE
,,1c11e53bb6,Merge #17041: ci: Run tests on arm,,FALSE
,,a2ae766a61,"Merge #15098: qt: Show addresses for ""SendToSelf"" transactions",,FALSE
,,42d0eca725,Merge #13728: lint: Run the CI lint stage on mac,,FALSE
Done (Merged to dashpay),,bc7e721d97,Merge #17087: build: Add variable printing target to Makefiles,,FALSE
Done (Merged to dashpay),,b265ffe323,Merge #15023: GUI: Restore RPC Console to non-wallet tray icon menu,,FALSE
,,5cb1d938a1,Merge #15756: gui: Add shortcuts for tab tools,,FALSE
Done (Merged to dashpay),,b67ca4ee73,Merge #17085: init: Change fallback locale to C.UTF-8,,FALSE
Done (Merged to dashpay),,2352aec9fc,"Merge #17076: tests: Add fuzzing harness for CheckTransaction(...), IsStandardTx(...) and other CTransaction related functions",,FALSE
,,2a0164085b,Merge #16689: rpc: add missing fields to wallet rpc help output,,FALSE
,,59f0687fea,Merge #16786: test: add unit test for wallet watch-only methods involving PubKeys,,FALSE
,,befdef8aee,Merge #16887: Abstract out some of the descriptor Span-parsing helpers,,FALSE
,,d5a770b70d,Merge #16973: test: Fix combine_logs.py for AppVeyor build,,FALSE
,,08ed87e887,Merge #16983: doc: Add detailed info about Bitcoin Core files,,FALSE
,,8261587610,Merge #17102: doc: Add missing indexes/blockfilter/basic to doc/files.md,,FALSE
,,f4d93078dd,Merge #17097: build: Add README.md to DIST target,,FALSE
,,561a7d3047,Merge #16947: doc: Doxygen-friendly script/descriptor.h comments,,FALSE
,,e82f874a23,Merge #17121: test: speedup wallet_backup by whitelisting peers (immediate tx relay),,FALSE
,K_Staged (merged to Kitty local repo),d882f63589,Merge #17057: build: switch to upstream libdmg-hfsplus,,FALSE
,,4765b91f50,Merge #16667: build: remove mingw linker workaround from win gitian descriptor,,FALSE
,,556820ee57,Merge #17009: tests: Add EvalScript(...) fuzzing harness,,FALSE
,,6c7da0736d,"Merge #17108: test: fix ""tx-size-small"" errors after default address change",,FALSE
,,b33c03b0cb,Merge #17124: test: speed up wallet_address_types by whitelisting peers (immediate tx relay),,FALSE
,,dcc640811c,Merge #17134: doc: Add switch on enum example to developer notes,,FALSE
,,a4a4964db1,Merge #17111: doc: update bips.md with buried BIP9 deployments,,FALSE
Done (Merged to dashpay),,b544eb6370,Merge #17086: tests: Fix fs_tests for unknown locales,,FALSE
Done (Merged to dashpay),,ee47461ea5,Merge #17033: Disable _FORTIFY_SOURCE when enable-debug,,FALSE
,,e15ffec718,Merge #17146: github: Add warning for bug reports,,FALSE
,,c787556403,Merge #17142: docs: Update macdeploy README to include all files produced by `make deploy`,,FALSE
,,029c65e04c,Merge #17141: Test: Rename SegwitVersion1SignatureHash(),,FALSE
Done (Merged to dashpay),,137b7a2af1,Merge #17125: gui: Add toolTip and placeholderText to sign message fields,,FALSE
,,e180be49d7,Merge #17098: refactor: Feebumper EstimateFeeRate follow-up,,FALSE
,,a3af5b5c13,Merge #17138: Remove wallet access to some node arguments,,FALSE
,,eb292af309,Merge #17105: gui: Make RPCConsole::TabTypes an enum class,,FALSE
,,4cfb6738e8,Merge #17118: build: depends macOS: point --sysroot to SDK,,FALSE
,,1f6638630e,Merge #17113: tests: Add fuzzing harness for descriptor Span-parsing helpers,,FALSE
Done (Merged to dashpay),,5a3dd93594,Merge #17131: rpc: fix -rpcclienttimeout 0 option,,FALSE
,,c34b88620d,Merge #17095: util: Filter control characters out of log messages,,FALSE
,,46d6930f8c,Merge #16659: refactoring: Remove unused includes,,FALSE
,,4f42284fc0,Merge #17140: test: Fix bug in blockfilter_index_tests.,,FALSE
,,fcf1ebde3d,Merge #17169: doc: correct function name in ReportHardwareRand(),,FALSE
,,048e456fc4,Merge #17119: doc: Fix broken bitcoin-cli examples,,FALSE
,,ec3ed5a448,Merge #16597: Travis: run full test suite on native macOS,,FALSE
,,88eff969c2,Merge #17177: doc: Describe log files + consistent paths in test READMEs,,FALSE
Done (Merged to dashpay),,4daadce36c,Merge #17162: chain: Remove CBlockIndex::SetNull helper,,FALSE
,,b9b58f8f68,Merge #15084: gui: don't disable the sync overlay when wallet is disabled,,FALSE
Done (Merged to dashpay),,f2a094884d,Merge #17186: gui: Add placeholder text to the sign message field,,FALSE
,,0ff7cd7d0c,Merge #16889: Add some general std::vector utility functions,partial,FALSE
,,ddc3cf26ff,"Merge #17151: gui: remove OpenSSL PRNG seeding (Windows, Qt only)",,FALSE
,,fd3b4e422d,Merge #16949: build: only pass --disable-dependency-tracking to packages that understand it,,FALSE
,K_Staged (merged to Kitty local repo),b6e34afe97,Merge #17184: util: Filter out macOS process serial number,,FALSE
Done (Merged to dashpay),,b8f041af2d,Merge #17157: doc: Added instructions for how to add an upsteam to forked repo,,FALSE
,,0d7e8d66c4,Merge #17203: wallet: Remove unused GetLabelName,,FALSE
,,0d6b6b7c65,Merge #17191: random: remove call to RAND_screen() (Windows only),,FALSE
,,fc1040acc0,Merge #17176: ci: Cleanup macOS runs,,FALSE
,,a75cb122ed,Merge #17195: gui: send amount placeholder value,,FALSE
,,a22b62481a,Merge #17070: wallet: Avoid showing GUI popups on RPC errors,,FALSE
,,4aaeb04497,Merge #17205: ci: Enable address sanitizer (ASan) stack-use-after-return checking,,FALSE
,,9dd6bbba61,Merge #17209: tests: Remove no longer needed UBSan suppressions (issues fixed). Add documentation.,,FALSE
,,4258fd7377,Merge #17091: tests: Add test for loadblock option and linearize scripts,,FALSE
Done (Merged to dashpay),,ceda6e8b74,Merge #17180: gui: Improved tooltip for send amount field,,FALSE
,,a884b32854,Merge #16911: wallet: Only check the hash of transactions loaded from disk,,FALSE
,,8f14d2002b,"Merge #17183: refactor: test/bench: dedup Build{Crediting,Spending}Transaction()",,FALSE
Done (Merged to dashpay),,deb2327b43,Merge #17018: tests: Add descriptor Parse(...) fuzzing harness,,FALSE
Done (Merged to dashpay),,c5ac7af779,Merge #17206: test: Add testcase to simulate bitcoin schema in leveldb,,FALSE
,,8a191148db,Merge #17154: wallet: Remove return value from CommitTransaction,,FALSE
,,b688b859db,Merge #17004: validation: Remove REJECT code from CValidationState,,FALSE
Done (Merged to dashpay),,205cffaf38,Merge #17226: gui: Fix payAmount tooltip in SendCoinsEntry,,FALSE
Done (Merged to dashpay),,d53828cb79,Merge #17235: tests: Skip unnecessary fuzzer initialisation. Hold ECCVerifyHandle only when needed.,,FALSE
,,d7134ead84,Merge #17239: doc: Changed miniupnp links to https,,FALSE
,,4af0447169,Merge #17240: ci: Disable functional tests on mac host,,FALSE
,,773026044f,"Merge #17212: refactor: Remove unused CExt{Pub,}Key (de)serialization methods",,FALSE
,,fce7c75422,Merge #16851: Continue relaying transactions after they expire from mapRelay,,FALSE
Done (Merged to dashpay),,366753e46e,Merge #17231: depends: fix boost mac cross build with clang 9+,,FALSE
,,90ed98ae9a,Merge #17080: consensus: Explain why fCheckDuplicateInputs can not be skipped and remove it,,FALSE
,,37855ec9df,Merge #17220: tests: Add unit testing for the CompressScript function,,FALSE
,,48cb468ce3,Merge #17242: refactor: Remove unused cacheSigStore from CheckInputsFromMempooAndCache,,FALSE
,,693e40090a,Merge #17083: tests: Add fuzzing harness for various CScript related functions,,FALSE
,,25d7e2e781,Merge #17251: net: SocketHandler logs peer id for close and disconnect,,FALSE
,,d91af4768c,Merge #17165: Remove BIP70 support,,FALSE
,,e9f73b839a,Merge #17135: gui: Make polling in ClientModel asynchronous,,FALSE
Done (Merged to dashpay),,3f875744cb,Merge #17249: rpc: Add missing deque include to fix build,,FALSE
,,9bd109b78d,Merge #17120: gui: Fix start timer from non QThread,,FALSE
,,be50469217,Merge #17257: gui: disable font antialiasing for QR image address,,FALSE
,,9ae468a6d5,Merge #17192: util: Add CHECK_NONFATAL and use it in src/rpc,,FALSE
,,a25945318f,Merge #17250: Avoid unused call to GuessVerificationProgress in NotifyHeaderTip,,FALSE
,,f8cc2b967b,Merge #17267: bench: Fix negative values and zero for -evals flag,,FALSE
,K_Staged (merged to Kitty local repo),badca85e2c,Merge #16202: p2p: Refactor network message deserialization,,FALSE
Done (Merged to dashpay),,1ab6c1267e,Merge #16986: doc: Doxygen-friendly CuckooCache comments,,FALSE
,,cfec3e01b4,Merge #17266: util: Rename DecodeDumpTime to ParseISO8601DateTime,,FALSE
,,4c1090c882,Merge #17279: refactor: Remove redundant c_str() calls in formatting,,FALSE
,,6a97e8a060,Merge #17260: Split some CWallet functions into new LegacyScriptPubKeyMan,,FALSE
,,ecad0a8019,Merge #17299: test: add reason checks for non-standard txs in test_IsStandard,,FALSE
Done (Merged to dashpay),,5728f88d64,Merge #17280: refactor: Change occurences of c_str() used with size() to data(),,FALSE
,,6daddc4495,Merge #17282: contrib: remove accounts from bash completion,,FALSE
,,f129170b85,Merge #17306: refactor: Use name constants in chainparams initialization,,FALSE
,,471e5f8829,Merge #16839: Replace Connman and BanMan globals with NodeContext local,,FALSE
Done (Merged to dashpay),,edd9d0781b,"Merge #17302: cli: Add ""headers"" and ""verificationprogress"" to -getinfo",,FALSE
,,341e8d355d,Merge #17291: tests: Add fuzzing harness for ISO-8601 related functions,,FALSE
,,cab94cc074,Merge #16943: test: Add generatetodescriptor RPC,,FALSE
,,3c40bc6726,Merge #15921: validation: Tidy up ValidationState interface,,FALSE
,P_Staged (merged to Pasta local repo),a6abc94e93,Merge #17281: doc: Add developer note on c_str(),,FALSE
,,08e2947312,Merge #17316: refactor: Replace all uses of boost::optional with our own Optional type,,FALSE
,,feb1a8c03a,Merge #17308: nsis: Write to correct filename in first place,,FALSE
,,1c5e0ccaba,Merge #17274: tests: Fix fuzzers eval_script and script_flags by re-adding ECCVerifyHandle dependency,,FALSE
,,100fa0a62a,Merge #17300: LegacyScriptPubKeyMan code cleanups,,FALSE
Done (Merged to dashpay),,811c381ab6,Merge #17329: linter: Strip trailing / in path for git-subtree-check,,FALSE
,,222b7d0ca7,Merge #17330: test: Add shrinkdebugfile=0 to regtest bitcoin.conf,,FALSE
,,462fbcd212,Merge #17325: log: Fix log message for -par=1,,FALSE
,,b54666c849,Merge #17286: Fix help-debug -checkpoints,,FALSE
,,ddd46293bd,Merge #17324: Update univalue subtree,,FALSE
,,90a2341713,Merge #17218: Replace the LogPrint function with a macro,,FALSE
,,bc3fcf3c0d,Merge #17327: test: add rpc_fundrawtransaction logging,,FALSE
,,0e6cae0248,Merge #17284: build: update retry to current version,,FALSE
,,6a7c40bee4,Merge #15888: QA: Add wallet_implicitsegwit to test the ability to transform keys between address types,,FALSE
,,3f8d95500d,Merge #17345: test: Do not instantiate CAddrDB for static call CAddrDB::Read(),,FALSE
,,c737839471,Merge #17309: doc: update MSVC instructions to remove Qt OpenSSL linking,,FALSE
Done (Merged to dashpay),,5021ef8d7f,Merge #17254: test: fix script_p2sh_tests OP_PUSHBACK2/4 missing,,FALSE
,,a5224be645,Merge #17292: Add new mempool benchmarks for a complex pool,,FALSE
Done (Merged to dashpay),,9641366950,Merge #17293: Add assertion to randrange that input is not 0,,FALSE
,,463eab5e14,Merge #17285: doc: Bip70 removal follow-up,,FALSE
,,c4b8dd2060,Merge #17297: refactor: Remove addrdb.h dependency from node.h,,FALSE
,,91fbcf41b3,Merge #16110: depends: Add Android NDK support,,FALSE
,,73b26e38d7,Merge #17351: doc: Fix some misspellings,,FALSE
,,5933c6d924,Merge #17228: test: Add RegTestingSetup to setup_common,,FALSE
,,def69e5a86,Merge #17233: travis: Run unit and functional tests on native arm,,FALSE
,,fba574c908,Merge #17349: Remove redundant copy constructors,,FALSE
,,bbc9e4133c,Merge #17304: refactor: Move many functions into LegacyScriptPubKeyMan and further separate it from CWallet,,FALSE
,,8f9df2ed88,Merge #17164: p2p: Avoid allocating memory for addrKnown where we don't need it,,FALSE
,,6cb10c14c6,Merge #17199: test: use default address type (bech32) for wallet_bumpfee tests,,FALSE
,,94a26b192f,Merge #17318: replace asserts in RPC code with CHECK_NONFATAL and add linter,,FALSE
,,33b155f287,Merge #17366: test: Reset global args between test suites,,FALSE
,,bc38bb9a60,Merge #17288: Added TestShell class for interactive Python environments.,,FALSE
,,bfc4c896d6,Merge #17258: Fix issue with conflicted mempool tx in listsinceblock,,FALSE
,,bdda137878,Merge #16766: wallet: Make IsTrusted scan parents recursively,,FALSE
,,e204dc11b5,Merge #17365: depends: update README.md with working Android targets and API levels,,FALSE
,,54a337478d,Merge #17378: TestShell: Fix typos & implement cleanups,,FALSE
,,c7e6b3b343,Merge #17243: p2p: add PoissonNextSend method that returns mockable time,,FALSE
,,50591f6ec6,Merge #17357: tests: Add fuzzing harness for Bech32 encoding/decoding,,FALSE
,,22e7eea629,"Merge #17363: test: add ""diamond"" unit test to MempoolAncestryTests",,FALSE
,,d35b12107e,Merge #17044: init: Remove auto-import of `bootstrap.dat` and associated code,,FALSE
,,b05b28183c,Merge #16899: UTXO snapshot creation (dumptxoutset),,FALSE
,,fea532a5f2,Merge #16540: test: Add ASSERT_DEBUG_LOG to unit test framework,,FALSE
Done (Merged to dashpay),,d9a4550001,"Merge #17360: gui: Improve ""Hide"" button tool-tip message",,FALSE
Done (Merged to dashpay),,40b6070ad7,Merge #16805: logs: add timing information to FlushStateToDisk(),,FALSE
,,45e65376ac,Merge #17382: rpc: Remove unused boost::this_thread::interruption_point,,FALSE
,,4e21f72980,Merge #17370: doc: Update doc/bips.md with recent changes in master,,FALSE
,,224c19645f,Merge #17388: Add missing newline in util_ChainMerge test,,FALSE
,,7967104aee,Merge #17368: cli: fix -getinfo output when compiled with no wallet,,FALSE
,,22a58811d4,Merge #17353: doc: Add ShellCheck to lint tests dependencies,,FALSE
Done (Merged to dashpay),,86771d4310,Merge #17339: doc: Add template for good first issues,,FALSE
,,6f4e247357,Merge #17390: test: Add util_ArgParsing test,,FALSE
,,976cc766c4,Merge #17381: LegacyScriptPubKeyMan code cleanups,,FALSE
,,e65b4160e9,Merge #17340: Tests: speed up fundrawtransaction test,,FALSE
,,46fc4d1a24,Merge #17384: test: Create new test library,,FALSE
,,46e0e27639,Merge #17364: Updates to appveyor config for VS2019 and Qt5.9.8 + msvc project fixes,,FALSE
Done (Merged to dashpay),,7d14e35f3f,Merge #17342: refactor: Clean up nScriptCheckThreads,,FALSE
,,772673dfbe,"Merge #16978: test: Seed test RNG context for each test case, print seed",,FALSE
,,270616228b,"Merge #17362: test: speed up wallet_avoidreuse, add logging",,FALSE
,,2fb6140d58,Merge #17404: Remove redundant class file include from test_bitcoin msvc project,,FALSE
,,99ab3a72c5,Merge #15931: Remove GetDepthInMainChain dependency on locked chain interface,,FALSE
,,4a3b6f47cd,Merge #17354: wallet: Tidy CWallet::SetUsedDestinationState,,FALSE
Done (Merged to dashpay),,8021392b82,Merge #17405: wallet: Remove unused boost::this_thread::interruption_point,,FALSE
,,9e0aabe50c,Merge #17367: ci: Run non-cross-compile builds natively,,FALSE
,,adceca2ba5,Merge #17422: doc: add historical 0.19.0 release notes,,FALSE
,,a7aec7ad97,Merge #15934: Merge settings one place instead of five places,,FALSE
,P_Staged (merged to Pasta local repo),cef7df37ce,Merge #17410: Rename `db` log category to `walletdb` (like `coindb`),,FALSE
Done (Merged to dashpay),,ecc1a4ecd0,Merge #17431: Remove unnecessary forward declaration,,FALSE
,,89e93135ae,Merge #17427: qt: Fix missing qRegisterMetaType for size_t,,FALSE
,,a6f6333ba2,Merge #17416: Appveyor improvement - text file for vcpkg package list,,FALSE
,,80fdb6fad1,"Merge #17442: fix Typo: ""merkelRoot"" -> ""merkleRoot""",,FALSE
,,6d4b97cb1c,Merge #17450: util: Add missing headers to util/fees.cpp,,FALSE
,,1028882eea,Merge #17437: rpc: Expose block height of wallet transactions,,FALSE
,,8237889e8d,Merge #17435: test: check custom ancestor limit in mempool_packages.py,,FALSE
,,cd6cb9745e,Merge #17409: build: Avoid hardcoded libfaketime dir in gitian,,FALSE
,,21ee676dd6,Merge #17449: fix uninitialized variable nMinerConfirmationWindow,,FALSE
,,c7709cbf4c,Merge #17469: test: Remove fragile assert_memory_usage_stable,,FALSE
,,422ec33d45,Merge #17322: Fix input size assertion in wallet_bumpfee.py,,FALSE
,,f92e750eb4,Merge #17480: test: add unit test for non-standard txs with too large scriptSig,,FALSE
,,1ed3e071df,Merge #17455: tests: Update valgrind suppressions,,FALSE
Done (Merged to dashpay),,b90dad5143,Merge #17486: build: make Travis catch unused variables,,FALSE
,,7dbc33f617,"Merge #17499: refactor, qt: Remove unused signal from WalletView class",,FALSE
,,94f0749f91,Merge #17436: Add TheCharlatan's pgp key,,FALSE
,,1baf7d1819,"Merge #17466: depends: qt: Fix C{,XX} pickup",,FALSE
,,0bb37e437e,Merge #17270: Feed environment data into RNG initializers,,FALSE
,,24647a09e7,Merge #17470: ci: Use clang-8 for fuzzing to run on aarch64 ci systems,,FALSE
Done (Merged to dashpay),,63fac52f31,Merge #17328: GuessVerificationProgress: cap the ratio to 1,,FALSE
,,ca1eeba0b0,"Merge #17488: test: fix ""bitcoind already running"" warnings on macOS",,FALSE
,,6fde676f64,Merge #16669: build: use new fork of osslsigncode for windows gitian signing,,FALSE
,,397c6d32c8,Merge #17503: doc: Remove bitness from bitcoin-qt help message and manpage,,FALSE
,,30521302f9,Merge #17136: tests: Add fuzzing harness for various PSBT related functions,,FALSE
,,2065ef66ee,Merge #17265: Remove OpenSSL,,FALSE
Done (Merged to dashpay),,92db280817,Merge #17411: doc: Add some better examples for scripted diff,,FALSE
,,e1df922132,Merge #17497: test: skip tests when utils haven't been compiled,,FALSE
,,b4a1da9ef8,Merge #17515: Remove straggling OpenSSL references from doc and build,,FALSE
,,6496bb87af,Merge #17008: build: bump libevent to 2.1.11 in depends,,FALSE
,,36191a8bb5,Merge #12461: scripted-diff: Rename key size consts to be relative to their class,,FALSE
,,26744ae189,Merge #17446: gui: Changed tooltip for 'Label' & 'Message' text fields to be more clear,,FALSE
,,76e777df83,Merge #16161: util: Fix compilation errors in support/lockedpool.cpp,,FALSE
Done (Merged to dashpay),,3671c5721d,Merge #17532: test: add functional test for non-standard txs with too large scriptSig,,FALSE
,,a8d9f7dfa7,Merge #17420: travis: Rework CACHE_ERR_MSG,,FALSE
,,41162c0ba0,Merge #17423: ci: Make ci system read-only on the git work tree,,FALSE
,,b7bc9b8330,Merge #17444: wallet: Avoid showing GUI popups on RPC errors (take 2),,FALSE
,,5ff798c39b,Merge #17439: refactor: Use proper MAX_SCRIPT_ELEMENT_SIZE constants consistently,,FALSE
,,ae6943620a,Merge #17407: node: Add reference to mempool in NodeContext,,FALSE
,,69a6f1ad1f,"Merge #17513: refactor, qt: Nuke some circular dependencies",,FALSE
,,a739d207a3,Merge #17519: rpc: Remove unused COINBASE_FLAGS,,FALSE
,,b983e7e172,Merge #17542: build: Create test utility library from src/test/util/,,FALSE
Done (Merged to dashpay),,03f6f408ab,Merge #17545: build: remove libanl.so.1 from ALLOWED_LIBRARIES,,FALSE
,,bb862d7864,Merge #14384: Fire TransactionRemovedFromMempool callbacks from mempool,,FALSE
,,cef87f7a48,Merge #17290: Enable BnB coin selection for preset inputs and subtract fee from outputs,,FALSE
,,8aac85d71e,Merge #17371: Refactor: Require scriptPubKey to get wallet SigningProvider,,FALSE
,,0aa72061e5,Merge #16944: gui: create PSBT with watch-only wallet,,FALSE
,,7127c31020,Merge #17237: wallet: LearnRelatedScripts only if KeepDestination,,FALSE
,,2a97d2b1a5,Merge #17553: wallet: Remove out of date comments for CalculateMaximumSignedTxSize,,FALSE
,K_Staged (merged to Kitty local repo),a6f5b6f47d,Merge #17550: build: set minimum supported macOS to 10.12,,FALSE
,,4effd67bf4,Merge #17387: wallet_importmulti: use addresses of the same type as being imported,,FALSE
,,0b79caf658,Merge #17447: wallet: Make -walletdir network only,,FALSE
,,33c103e2fe,Merge #17539: doc: Update and improve Developer Notes,,FALSE
,,2c98e2024d,Merge #17571: Add libtest_util library to msvc build configuration,,FALSE
,,9cbd87d8ee,"Merge #17518: refactor, wallet: Nuke coincontrol circular dependency",,FALSE
,,2eeacdfe44,Merge #17527: Fix CPUID subleaf iteration,,FALSE
,,239d199667,Merge #17574: doc: Add historical release notes for 0.19.0.1,,FALSE
,,7463181798,Merge #17538: build: Bump minimum libc to 2.17 for release binaries,,FALSE
,,e6f167bfdf,Merge #17569: build: Allow export of environ symbols and work around rv64 toolchain issue,,FALSE
,,89a1f7a250,Merge #17592: Appveyor install libevent[thread] vcpkg,,FALSE
,,12230529e3,Merge #17596: doc: Change doxygen URL to doxygen.bitcoincore.org,,FALSE
,,2c1c43754b,Merge #17591: ci: Add big endian platform - s390x,,FALSE
,,0ee914ba9e,Merge #17584: wallet: replace raw pointer with const reference in AddrToPubKey,,FALSE
Done (Merged to dashpay),,f2ab130961,"Merge #17606: qt, refactor: Use proper classes for Ui::*",,FALSE
,K_Staged (merged to Kitty local repo),4fb82e916b,Merge #17567: gui: remove macOS start on login code,,FALSE
,,d8a66626d6,"Merge #17283: rpc: improve getaddressinfo test coverage, help, code docs",,FALSE
,K_Staged (merged to Kitty local repo),1f59885d27,Merge #17361: script: Lint Gitian descriptors with ShellCheck,,FALSE
,,23cecd6cd5,Merge #17604: util: make ScheduleBatchPriority advisory only,,FALSE
,,114e89e596,"Merge #17624: net: Fix an uninitialized read in ProcessMessage(…, ""tx"", …) when receiving a transaction we already have",,FALSE
,,abb30de63f,Merge #17587: gui: show watch-only balance in send screen,,FALSE
,,2ecb7e1556,Merge #17521: depends: only use D-Bus with Qt on linux,,FALSE
,,19698ac6bc,Merge #17568: wallet: fix when sufficient preset inputs and subtractFeeFromOutputs,,FALSE
,,35eda631ed,Merge #17634: qt: Fix comparison function signature,,FALSE
,,2b6575d989,Merge #17643: wallet: Fix origfee return for bumpfee with feerate arg,,FALSE
,,69ca6cdd66,Merge #17599: ci: Run functional tests on s390x,,FALSE
,,1705f1949a,Merge #17549: ci: misc cleanups,,FALSE
Done (Merged to dashpay),,1fdaa04ceb,Merge #17641: Add unit test for leveldb creation with unicode path,,FALSE
Done (Merged to dashpay),,54b12e425b,Merge #17555: test: add unit test for non-standard txs with wrong nVersion,,FALSE
,,e354db7877,Merge #17637: script: Add Keyserver to verify-commits README,,FALSE
Done (Merged to dashpay),,bce44089db,Merge #17547: build: Fix configure report about qr,,FALSE
,,dcbe024f5e,Merge #17648: doc: rename wallet-tool references to bitcoin-wallet,,FALSE
,,41919631d5,Merge #17573: Seed RNG with precision timestamps on receipt of net messages.,,FALSE
,,fee01bb053,Merge #17517: ci: Bump to clang-8 for asan build to avoid segfaults on ppc64le,,FALSE
,,5aee0e2163,Merge #17650: util: remove unwanted fields from bitcoin-cli -getinfo,,FALSE
,,6fff333c9f,Merge #17507: random: mark RandAddPeriodic and SeedPeriodic as noexcept,,FALSE
,,910a4301b1,Merge #17522: test: Wait until mempool is loaded in wallet_abandonconflict,,FALSE
,,5d0b7f9e3d,Merge #17670: Move events_hasher into RNGState(),,FALSE
,,cf43f3f0a8,Merge #17674: tests: Add initialization order fiasco detection in Travis,,FALSE
Done (Merged to dashpay),,c7c9c44278,Merge #17663: build: pass -dead_strip_dylibs to ld on macOS,,FALSE
Done (Merged to dashpay),,cb11324a63,Merge #17051: tests: Add deserialization fuzzing harnesses,,FALSE
Done (Merged to dashpay),,da1af855f9,Merge #17275: pubkey: Assert CPubKey's ECCVerifyHandle precondition,,FALSE
,,4ee8a58ce7,Merge #17373: wallet: Various fixes and cleanup to keypool handling in LegacyScriptPubKeyMan and CWallet,,FALSE
,,fc0da027e8,Merge #17635: ci: Add CentOS 7 build,,FALSE
,,a8f5d5c6b9,Merge #17658: depends: add ability to skip building qrencode,,FALSE
,,5622d8f315,Merge #17671: script: fixed wget call in gitian-build.py,,FALSE
,,bb03765e2d,Merge #17685: tests: Fix bug in the descriptor parsing fuzzing harness (descriptor_parse),,FALSE
,,b6fb899ead,Merge #17699: Make env data logging optional,,FALSE
,,91559da683,Merge #17676: depends: don't use OpenGL in Qt on macOS,,FALSE
,,1ebf6402fc,Merge #17647: lcov: filter depends from coverage reports,,FALSE
,,c8e65ade09,Merge #17695: gui: disable File->CreateWallet during startup,,FALSE
,,05c23488c2,Merge #17694: ui: disable 3rd-party tx-urls when wallet disabled,,FALSE
,,ac09180128,Merge #17680: gitian: fixed SC2001 regex,,FALSE
,,1d6fda65dd,Merge #17678: depends: Support for S390X and POWER targets,,FALSE
,,03e781ff4f,Merge #17702: gui: Move static placeholder texts to forms,,FALSE
,,df2b743759,Merge #17675: tests: Enable tests which are incorrectly skipped when running test_runner.py --usecli,,FALSE
Done (Merged to dashpay),,5bf1909dd9,Merge #17682: util: Update tinyformat to upstream,,FALSE
Done (Merged to dashpay),,74c6ad3aab,Merge #17225: tests: Test serialisation as part of deserialisation fuzzing. Test round-trip equality where possible.,,FALSE
,,347dd76ec8,"Merge #17093: tests: Add fuzzing harness for various CTx{In,Out} related functions",,FALSE
,,1189b6acab,Merge #17109: tests: Add fuzzing harness for various functions consuming only integrals,,FALSE
,,fae94785d9,Merge #17524: psbt: handle unspendable psbts,,FALSE
